ANNAISS;MNAISS;CODCOM;LBCOM;SEX;Prn;NRB;;
2007;;35238;RENNES;HOMME;Nolan;24;;
2007;;35238;RENNES;HOMME;Romain;24;;
2007;;35238;RENNES;HOMME;Tom;24;;
2007;;35238;RENNES;HOMME;Matheo;23;;
2007;;35238;RENNES;HOMME;Ewen;22;;
2007;;35238;RENNES;HOMME;Yanis;22;;
2007;;35238;RENNES;HOMME;Alexis;21;;
2007;;35238;RENNES;HOMME;Clement;21;;
2007;;35238;RENNES;HOMME;Martin;21;;
2007;;35238;RENNES;HOMME;Maxime;19;;
2007;;35238;RENNES;HOMME;Leo;18;;
2007;;35238;RENNES;HOMME;Quentin;18;;
2007;;35238;RENNES;HOMME;Antonin;17;;
2007;;35238;RENNES;HOMME;Pierre;17;;
2007;;35238;RENNES;HOMME;Sacha;17;;
2007;;35238;RENNES;HOMME;Simon;16;;
2007;;35238;RENNES;HOMME;Victor;16;;
2007;;35238;RENNES;HOMME;Elouan;15;;
2007;;35238;RENNES;HOMME;Julien;14;;
2007;;35238;RENNES;HOMME;Mael;14;;
2007;;35238;RENNES;HOMME;Noa;14;;
2007;;35238;RENNES;HOMME;Alexandre;13;;
2007;;35238;RENNES;HOMME;Corentin;13;;
2007;;35238;RENNES;HOMME;Esteban;13;;
2007;;35238;RENNES;HOMME;Samuel;13;;
2007;;35238;RENNES;HOMME;Gaspard;12;;
2007;;35238;RENNES;HOMME;Kylian;11;;
2007;;35238;RENNES;HOMME;Marin;11;;
2007;;35238;RENNES;HOMME;Matteo;11;;
2007;;35238;RENNES;HOMME;Maxence;11;;
2007;;35238;RENNES;HOMME;Nolann;11;;
2007;;35238;RENNES;HOMME;Valentin;11;;
2007;;35238;RENNES;HOMME;Aaron;10;;
2007;;35238;RENNES;HOMME;Briac;10;;
2007;;35238;RENNES;HOMME;Dylan;10;;
2007;;35238;RENNES;HOMME;Francois;10;;
2007;;35238;RENNES;HOMME;Marius;10;;
2007;;35238;RENNES;HOMME;Mathys;10;;
2007;;35238;RENNES;HOMME;Timeo;10;;
2007;;35238;RENNES;HOMME;Erwan;9;;
2007;;35238;RENNES;HOMME;Ilan;9;;
2007;;35238;RENNES;HOMME;Lilian;9;;
2007;;35238;RENNES;HOMME;Tristan;9;;
2007;;35238;RENNES;HOMME;Rayan;8;;
2007;;35238;RENNES;HOMME;Remi;8;;
2007;;35238;RENNES;HOMME;Charly;7;;
2007;;35238;RENNES;HOMME;Come;7;;
2007;;35238;RENNES;HOMME;Dorian;7;;
2007;;35238;RENNES;HOMME;Eliott;7;;
2007;;35238;RENNES;HOMME;Guillaume;7;;
2007;;35238;RENNES;HOMME;Gwendal;7;;
2007;;35238;RENNES;HOMME;Jean;7;;
2007;;35238;RENNES;HOMME;Johan;7;;
2007;;35238;RENNES;HOMME;Liam;7;;
2007;;35238;RENNES;HOMME;Lorenzo;7;;
2007;;35238;RENNES;HOMME;Mateo;7;;
2007;;35238;RENNES;HOMME;Mathieu;7;;
2007;;35238;RENNES;HOMME;Max;7;;
2007;;35238;RENNES;HOMME;Nicolas;7;;
2007;;35238;RENNES;HOMME;Nino;7;;
2007;;35238;RENNES;HOMME;Robin;7;;
2007;;35238;RENNES;HOMME;Timothe;7;;
2007;;35238;RENNES;HOMME;Yann;7;;
2007;;35238;RENNES;HOMME;Adam;6;;
2007;;35238;RENNES;HOMME;Adrien;6;;
2007;;35238;RENNES;HOMME;Bastien;6;;
2007;;35238;RENNES;HOMME;Benjamin;6;;
2007;;35238;RENNES;HOMME;Camille;6;;
2007;;35238;RENNES;HOMME;Edgar;6;;
2007;;35238;RENNES;HOMME;Elouann;6;;
2007;;35238;RENNES;HOMME;Gael;6;;
2007;;35238;RENNES;HOMME;Mathias;6;;
2007;;35238;RENNES;HOMME;Milan;6;;
2007;;35238;RENNES;HOMME;Oscar;6;;
2007;;35238;RENNES;HOMME;Timothee;6;;
2007;;35238;RENNES;HOMME;Youenn;6;;
2007;;44109;NANTES;FEMME;Emma;56;;
2007;;44109;NANTES;FEMME;Lea;49;;
2007;;44109;NANTES;FEMME;Camille;48;;
2007;;44109;NANTES;FEMME;Clara;48;;
2007;;44109;NANTES;FEMME;Jade;47;;
2007;;44109;NANTES;FEMME;Louise;45;;
2007;;44109;NANTES;FEMME;Sarah;44;;
2007;;44109;NANTES;FEMME;Lilou;43;;
2007;;44109;NANTES;FEMME;Romane;42;;
2007;;44109;NANTES;FEMME;Jeanne;41;;
2007;;44109;NANTES;FEMME;Lola;41;;
2007;;44109;NANTES;FEMME;Manon;41;;
2007;;44109;NANTES;FEMME;Chloe;36;;
2007;;44109;NANTES;FEMME;Ines;34;;
2007;;44109;NANTES;FEMME;Zoe;34;;
2007;;44109;NANTES;FEMME;Clemence;32;;
2007;;44109;NANTES;FEMME;Eva;32;;
2007;;44109;NANTES;FEMME;Mathilde;32;;
2007;;44109;NANTES;FEMME;Juliette;30;;
2007;;44109;NANTES;FEMME;Louna;30;;
2007;;44109;NANTES;FEMME;Maelys;27;;
2007;;44109;NANTES;FEMME;Rose;27;;
2007;;44109;NANTES;FEMME;Lucie;25;;
2007;;44109;NANTES;FEMME;Marie;25;;
2007;;44109;NANTES;FEMME;Laura;24;;
2007;;44109;NANTES;FEMME;Pauline;24;;
2007;;44109;NANTES;FEMME;Enora;23;;
2007;;44109;NANTES;FEMME;Anais;22;;
2007;;44109;NANTES;FEMME;Charlotte;22;;
2007;;44109;NANTES;FEMME;Leonie;22;;
2007;;44109;NANTES;FEMME;Adele;21;;
2007;;44109;NANTES;FEMME;Lou;21;;
2007;;44109;NANTES;FEMME;Alice;20;;
2007;;44109;NANTES;FEMME;Anna;20;;
2007;;44109;NANTES;FEMME;Lena;20;;
2007;;44109;NANTES;FEMME;Lisa;20;;
2007;;44109;NANTES;FEMME;Margaux;20;;
2007;;44109;NANTES;FEMME;Oceane;20;;
2007;;44109;NANTES;FEMME;Justine;18;;
2007;;44109;NANTES;FEMME;Lily;18;;
2007;;44109;NANTES;FEMME;Celia;17;;
2007;;44109;NANTES;FEMME;Julie;17;;
2007;;44109;NANTES;FEMME;Agathe;16;;
2007;;44109;NANTES;FEMME;Salome;16;;
2007;;44109;NANTES;FEMME;Marion;15;;
2007;;44109;NANTES;FEMME;Lina;14;;
2007;;44109;NANTES;FEMME;Margot;14;;
2007;;44109;NANTES;FEMME;Melissa;14;;
2007;;44109;NANTES;FEMME;Ambre;13;;
2007;;44109;NANTES;FEMME;Apolline;13;;
2007;;44109;NANTES;FEMME;Faustine;13;;
2007;;44109;NANTES;FEMME;Maelle;13;;
2007;;44109;NANTES;FEMME;Meline;13;;
2007;;44109;NANTES;FEMME;Noemie;13;;
2007;;44109;NANTES;FEMME;Thais;13;;
2007;;44109;NANTES;FEMME;Valentine;13;;
2007;;44109;NANTES;FEMME;Amandine;12;;
2007;;44109;NANTES;FEMME;Anaelle;12;;
2007;;44109;NANTES;FEMME;Capucine;12;;
2007;;44109;NANTES;FEMME;Carla;12;;
2007;;44109;NANTES;FEMME;Elisa;12;;
2007;;44109;NANTES;FEMME;Elise;12;;
2007;;44109;NANTES;FEMME;Elsa;12;;
2007;;44109;NANTES;FEMME;Gabrielle;12;;
2007;;44109;NANTES;FEMME;Louane;12;;
2007;;44109;NANTES;FEMME;Marine;12;;
2007;;44109;NANTES;FEMME;Emilie;11;;
2007;;44109;NANTES;FEMME;Maeva;11;;
2007;;44109;NANTES;FEMME;Norah;11;;
2007;;44109;NANTES;FEMME;Alix;10;;
2007;;44109;NANTES;FEMME;Anae;10;;
2007;;44109;NANTES;FEMME;Eloise;10;;
2007;;44109;NANTES;FEMME;Fanny;10;;
2007;;44109;NANTES;FEMME;Laurine;10;;
2007;;44109;NANTES;FEMME;Lise;10;;
2007;;44109;NANTES;FEMME;Angele;9;;
2007;;44109;NANTES;FEMME;Cassandra;9;;
2007;;44109;NANTES;FEMME;Cassandre;9;;
2007;;44109;NANTES;FEMME;Clementine;9;;
2007;;44109;NANTES;FEMME;Heloise;9;;
2007;;44109;NANTES;FEMME;Josephine;9;;
2007;;44109;NANTES;FEMME;Katell;9;;
2007;;44109;NANTES;FEMME;Maia;9;;
2007;;44109;NANTES;FEMME;Maya;9;;
2007;;44109;NANTES;FEMME;Nina;9;;
2007;;44109;NANTES;FEMME;Youna;9;;
2007;;44109;NANTES;FEMME;Zelie;9;;
2007;;44109;NANTES;FEMME;Alicia;8;;
2007;;44109;NANTES;FEMME;Candice;8;;
2007;;44109;NANTES;FEMME;Clea;8;;
2007;;44109;NANTES;FEMME;Coline;8;;
2007;;44109;NANTES;FEMME;Elina;8;;
2007;;44109;NANTES;FEMME;Julia;8;;
2007;;44109;NANTES;FEMME;Lison;8;;
2007;;44109;NANTES;FEMME;Lucile;8;;
2007;;44109;NANTES;FEMME;Maiwenn;8;;
2007;;44109;NANTES;FEMME;Melina;8;;
2007;;44109;NANTES;FEMME;Mona;8;;
2007;;44109;NANTES;FEMME;Nora;8;;
2007;;44109;NANTES;FEMME;Orlane;8;;
2007;;44109;NANTES;FEMME;Sara;8;;
2007;;44109;NANTES;FEMME;Colombe;7;;
2007;;44109;NANTES;FEMME;Flore;7;;
2007;;44109;NANTES;FEMME;Ninon;7;;
2007;;44109;NANTES;FEMME;Suzanne;7;;
2007;;44109;NANTES;FEMME;Tess;7;;
2007;;44109;NANTES;FEMME;Thalia;7;;
2007;;44109;NANTES;FEMME;Victoria;7;;
2007;;44109;NANTES;FEMME;Yasmine;7;;
2007;;44109;NANTES;FEMME;Albane;6;;
2007;;44109;NANTES;FEMME;Alexandra;6;;
2007;;44109;NANTES;FEMME;Arwen;6;;
2007;;44109;NANTES;FEMME;Celeste;6;;
2007;;44109;NANTES;FEMME;Charline;6;;
2007;;44109;NANTES;FEMME;Clarisse;6;;
2007;;44109;NANTES;FEMME;Constance;6;;
2007;;44109;NANTES;FEMME;Diane;6;;
2007;;44109;NANTES;FEMME;Elea;6;;
2007;;44109;NANTES;FEMME;Emmy;6;;
2007;;44109;NANTES;FEMME;Flora;6;;
2007;;44109;NANTES;FEMME;Garance;6;;
2007;;44109;NANTES;FEMME;Ilona;6;;
2007;;44109;NANTES;FEMME;Kenza;6;;
2007;;44109;NANTES;FEMME;Luna;6;;
2007;;44109;NANTES;FEMME;Maylis;6;;
2007;;44109;NANTES;FEMME;Melanie;6;;
2007;;44109;NANTES;FEMME;Morgane;6;;
2007;;44109;NANTES;FEMME;Noa;6;;
2007;;44109;NANTES;FEMME;Shana;6;;
2007;;44109;NANTES;FEMME;Solene;6;;
2007;;44109;NANTES;FEMME;Soline;6;;
2007;;44109;NANTES;HOMME;Louis;67;;
2007;;44109;NANTES;HOMME;Lucas;67;;
2007;;44109;NANTES;HOMME;Enzo;63;;
2007;;44109;NANTES;HOMME;Nathan;62;;
2007;;44109;NANTES;HOMME;Arthur;61;;
2007;;44109;NANTES;HOMME;Jules;55;;
2007;;44109;NANTES;HOMME;Paul;48;;
2007;;44109;NANTES;HOMME;Clement;46;;
2007;;44109;NANTES;HOMME;Leo;43;;
2007;;44109;NANTES;HOMME;Hugo;42;;
2007;;44109;NANTES;HOMME;Mathis;42;;
2007;;44109;NANTES;HOMME;Matheo;41;;
2007;;44109;NANTES;HOMME;Tom;41;;
2007;;44109;NANTES;HOMME;Alexandre;40;;
2007;;44109;NANTES;HOMME;Theo;38;;
2007;;44109;NANTES;HOMME;Antoine;37;;
2007;;44109;NANTES;HOMME;Titouan;34;;
2007;;44109;NANTES;HOMME;Ethan;33;;
2007;;44109;NANTES;HOMME;Noah;32;;
2007;;44109;NANTES;HOMME;Timeo;32;;
2007;;44109;NANTES;HOMME;Alexis;31;;
2007;;44109;NANTES;HOMME;Baptiste;31;;
2007;;44109;NANTES;HOMME;Thomas;31;;
2007;;44109;NANTES;HOMME;Evan;30;;
2007;;44109;NANTES;HOMME;Maxence;30;;
2007;;44109;NANTES;HOMME;Quentin;30;;
2007;;44109;NANTES;HOMME;Noe;29;;
2007;;44109;NANTES;HOMME;Pierre;29;;
2007;;44109;NANTES;HOMME;Raphael;29;;
2007;;44109;NANTES;HOMME;Victor;29;;
2007;;44109;NANTES;HOMME;Axel;28;;
2007;;44109;NANTES;HOMME;Ewen;28;;
2007;;44109;NANTES;HOMME;Mael;28;;
2007;;44109;NANTES;HOMME;Valentin;28;;
2007;;44109;NANTES;HOMME;Simon;27;;
2007;;44109;NANTES;HOMME;Yanis;27;;
2007;;44109;NANTES;HOMME;Martin;26;;
2007;;44109;NANTES;HOMME;Maxime;26;;
2007;;44109;NANTES;HOMME;Sacha;26;;
2007;;44109;NANTES;HOMME;Nolan;25;;
2007;;44109;NANTES;HOMME;Gabriel;24;;
2007;;44109;NANTES;HOMME;Malo;23;;
2007;;44109;NANTES;HOMME;Marius;22;;
2007;;44109;NANTES;HOMME;Noa;22;;
2007;;44109;NANTES;HOMME;Benjamin;21;;
2007;;44109;NANTES;HOMME;Dorian;21;;
2007;;44109;NANTES;HOMME;Romain;21;;
2007;;44109;NANTES;HOMME;Elouan;19;;
2007;;44109;NANTES;HOMME;Gabin;19;;
2007;;44109;NANTES;HOMME;Oscar;19;;
2007;;44109;NANTES;HOMME;Lenny;18;;
2007;;44109;NANTES;HOMME;Lilian;18;;
2007;;44109;NANTES;HOMME;Mathys;18;;
2007;;44109;NANTES;HOMME;Adrien;17;;
2007;;44109;NANTES;HOMME;Eliott;15;;
2007;;44109;NANTES;HOMME;Nicolas;15;;
2007;;44109;NANTES;HOMME;Samuel;15;;
2007;;44109;NANTES;HOMME;Tristan;15;;
2007;;44109;NANTES;HOMME;Eliot;14;;
2007;;44109;NANTES;HOMME;Gaspard;14;;
2007;;44109;NANTES;HOMME;Ilan;14;;
2007;;44109;NANTES;HOMME;Kylian;14;;
2007;;44109;NANTES;HOMME;Corentin;13;;
2007;;44109;NANTES;HOMME;Dylan;13;;
2007;;44109;NANTES;HOMME;Esteban;13;;
2007;;44109;NANTES;HOMME;Adam;12;;
2007;;44109;NANTES;HOMME;Florian;12;;
2007;;44109;NANTES;HOMME;Julien;12;;
2007;;44109;NANTES;HOMME;Lorenzo;12;;
2007;;44109;NANTES;HOMME;Matteo;12;;
2007;;44109;NANTES;HOMME;Thibault;12;;
2007;;44109;NANTES;HOMME;Alban;11;;
2007;;44109;NANTES;HOMME;Anatole;11;;
2007;;44109;NANTES;HOMME;Antonin;11;;
2007;;44109;NANTES;HOMME;Armand;11;;
2007;;44109;NANTES;HOMME;Edgar;11;;
2007;;44109;NANTES;HOMME;Nino;11;;
2007;;44109;NANTES;HOMME;Camille;10;;
2007;;44109;NANTES;HOMME;Jean;10;;
2007;;44109;NANTES;HOMME;Kenzo;10;;
2007;;44109;NANTES;HOMME;Nael;10;;
2007;;44109;NANTES;HOMME;Timothe;10;;
2007;;44109;NANTES;HOMME;William;10;;
2007;;44109;NANTES;HOMME;Justin;9;;
2007;;44109;NANTES;HOMME;Louka;9;;
2007;;44109;NANTES;HOMME;Mathias;9;;
2007;;44109;NANTES;HOMME;Nolann;9;;
2007;;44109;NANTES;HOMME;Rayan;9;;
2007;;44109;NANTES;HOMME;Robin;9;;
2007;;44109;NANTES;HOMME;Ruben;9;;
2007;;44109;NANTES;HOMME;Aaron;8;;
2007;;44109;NANTES;HOMME;Bastien;8;;
2007;;44109;NANTES;HOMME;Charly;8;;
2007;;44109;NANTES;HOMME;Diego;8;;
2007;;44109;NANTES;HOMME;Erwan;8;;
2007;;44109;NANTES;HOMME;Killian;8;;
2007;;44109;NANTES;HOMME;Leon;8;;
2007;;44109;NANTES;HOMME;Liam;8;;
2007;;44109;NANTES;HOMME;Marin;8;;
2007;;44109;NANTES;HOMME;Mateo;8;;
2007;;44109;NANTES;HOMME;Mathieu;8;;
2007;;44109;NANTES;HOMME;Melvyn;8;;
2007;;44109;NANTES;HOMME;Milan;8;;
2007;;44109;NANTES;HOMME;Mohamed;8;;
2007;;44109;NANTES;HOMME;Roman;8;;
2007;;44109;NANTES;HOMME;Alan;7;;
2007;;44109;NANTES;HOMME;Amaury;7;;
2007;;44109;NANTES;HOMME;Amine;7;;
2007;;44109;NANTES;HOMME;Augustin;7;;
2007;;44109;NANTES;HOMME;Charles;7;;
2007;;44109;NANTES;HOMME;Cyprien;7;;
2007;;44109;NANTES;HOMME;Damien;7;;
2007;;44109;NANTES;HOMME;Evann;7;;
2007;;44109;NANTES;HOMME;Ewan;7;;
2007;;44109;NANTES;HOMME;Guillaume;7;;
2007;;44109;NANTES;HOMME;Isaac;7;;
2007;;44109;NANTES;HOMME;Joseph;7;;
2007;;44109;NANTES;HOMME;Lucien;7;;
2007;;44109;NANTES;HOMME;Malone;7;;
2007;;44109;NANTES;HOMME;Matthieu;7;;
2007;;44109;NANTES;HOMME;Noam;7;;
2007;;44109;NANTES;HOMME;Owen;7;;
2007;;44109;NANTES;HOMME;Remi;7;;
2007;;44109;NANTES;HOMME;Swann;7;;
2007;;44109;NANTES;HOMME;Teddy;7;;
2007;;44109;NANTES;HOMME;Come;6;;
2007;;44109;NANTES;HOMME;Elie;6;;
2007;;44109;NANTES;HOMME;Elliot;6;;
2007;;44109;NANTES;HOMME;Emilien;6;;
2007;;44109;NANTES;HOMME;Ismael;6;;
2007;;44109;NANTES;HOMME;Kilian;6;;
2007;;44109;NANTES;HOMME;Loris;6;;
2007;;44109;NANTES;HOMME;Merlin;6;;
2007;;44109;NANTES;HOMME;Morgan;6;;
2007;;44109;NANTES;HOMME;Nils;6;;
2007;;44109;NANTES;HOMME;Noham;6;;
2007;;44109;NANTES;HOMME;Pablo;6;;
2007;;44109;NANTES;HOMME;Sasha;6;;
2007;;44109;NANTES;HOMME;Teo;6;;
2007;;44109;NANTES;HOMME;Ulysse;6;;
2007;;44109;NANTES;HOMME;Yannis;6;;
2007;;44109;NANTES;HOMME;Younes;6;;
2008;;67482;STRASBOURG;FEMME;Emma;52;;
2008;;67482;STRASBOURG;FEMME;Clara;42;;
2008;;67482;STRASBOURG;FEMME;Chloe;41;;
2008;;67482;STRASBOURG;FEMME;Sarah;40;;
2008;;67482;STRASBOURG;FEMME;Manon;36;;
2008;;67482;STRASBOURG;FEMME;Lea;35;;
2008;;67482;STRASBOURG;FEMME;Louise;33;;
2008;;67482;STRASBOURG;FEMME;Lucie;31;;
2008;;67482;STRASBOURG;FEMME;Camille;30;;
2008;;67482;STRASBOURG;FEMME;Mathilde;29;;
2008;;67482;STRASBOURG;FEMME;Jade;28;;
2008;;67482;STRASBOURG;FEMME;Eva;27;;
2008;;67482;STRASBOURG;FEMME;Emilie;24;;
2008;;67482;STRASBOURG;FEMME;Lisa;24;;
2008;;67482;STRASBOURG;FEMME;Ines;23;;
2008;;67482;STRASBOURG;FEMME;Marie;23;;
2008;;67482;STRASBOURG;FEMME;Lina;22;;
2008;;67482;STRASBOURG;FEMME;Oceane;22;;
2008;;67482;STRASBOURG;FEMME;Anais;21;;
2008;;67482;STRASBOURG;FEMME;Charlotte;20;;
2008;;67482;STRASBOURG;FEMME;Romane;20;;
2008;;67482;STRASBOURG;FEMME;Zoe;20;;
2008;;67482;STRASBOURG;FEMME;Celia;19;;
2008;;67482;STRASBOURG;FEMME;Elise;18;;
2008;;67482;STRASBOURG;FEMME;Anna;17;;
2008;;67482;STRASBOURG;FEMME;Clemence;17;;
2008;;67482;STRASBOURG;FEMME;Jeanne;17;;
2008;;67482;STRASBOURG;FEMME;Elsa;16;;
2008;;67482;STRASBOURG;FEMME;Julie;16;;
2008;;67482;STRASBOURG;FEMME;Pauline;16;;
2008;;67482;STRASBOURG;FEMME;Rose;16;;
2008;;67482;STRASBOURG;FEMME;Julia;15;;
2008;;67482;STRASBOURG;FEMME;Juliette;15;;
2008;;67482;STRASBOURG;FEMME;Marion;15;;
2008;;67482;STRASBOURG;FEMME;Leane;14;;
2008;;67482;STRASBOURG;FEMME;Lola;14;;
2008;;67482;STRASBOURG;FEMME;Margaux;14;;
2008;;67482;STRASBOURG;FEMME;Valentine;14;;
2008;;67482;STRASBOURG;FEMME;Sofia;13;;
2008;;67482;STRASBOURG;FEMME;Alicia;12;;
2008;;67482;STRASBOURG;FEMME;Elisa;12;;
2008;;67482;STRASBOURG;FEMME;Lena;12;;
2008;;67482;STRASBOURG;FEMME;Maelys;12;;
2008;;67482;STRASBOURG;FEMME;Sara;12;;
2008;;67482;STRASBOURG;FEMME;Leonie;11;;
2008;;67482;STRASBOURG;FEMME;Lilou;11;;
2008;;67482;STRASBOURG;FEMME;Lily;11;;
2008;;67482;STRASBOURG;FEMME;Nina;11;;
2008;;67482;STRASBOURG;FEMME;Noemie;11;;
2008;;67482;STRASBOURG;FEMME;Alice;10;;
2008;;67482;STRASBOURG;FEMME;Luna;10;;
2008;;67482;STRASBOURG;FEMME;Melina;10;;
2008;;67482;STRASBOURG;FEMME;Alix;9;;
2008;;67482;STRASBOURG;FEMME;Ambre;9;;
2008;;67482;STRASBOURG;FEMME;Anissa;9;;
